10000,0.054,0.031,0.031,0.036,0.031,0.033,0.031,0.031,0.03,0.031,
20000,0.164,0.173,0.143,0.168,0.163,0.151,0.143,0.158,0.165,0.149,
30000,0.379,0.356,0.402,0.365,0.354,0.344,0.354,0.343,0.33,0.329,
40000,0.693,0.58,0.577,0.662,0.569,0.653,0.66,0.602,0.614,0.649,
50000,0.993,0.917,0.999,0.994,0.904,1.029,0.902,1.056,0.935,0.999,
60000,1.443,1.336,1.64,1.441,1.439,1.365,1.32,1.382,1.338,1.316,
70000,1.94,2.034,1.927,1.973,2.034,1.862,1.894,1.935,1.825,1.959,
80000,2.483,2.708,2.572,2.531,2.519,2.34,2.451,2.528,2.48,2.434,
90000,3.186,3.516,3.185,3.245,3.32,3.245,3.24,3.353,3.405,3.173,
100000,4.065,3.756,3.845,3.986,3.687,3.816,3.794,3.734,3.87,3.995,
110000,4.756,4.815,4.745,4.883,4.848,4.496,4.797,5.084,4.665,4.731,
120000,5.68,5.377,5.505,5.69,5.573,5.962,5.369,5.442,5.814,5.359,
130000,7.092,6.29,6.429,6.87,6.852,6.438,6.545,6.531,6.675,6.731,
140000,8.208,7.321,7.882,8.129,7.592,7.694,7.84,7.6,7.404,7.729,
150000,9.204,8.639,8.395,9.249,8.344,9.033,8.833,8.369,8.385,8.459,
160000,10.82,10.378,10.194,10.359,9.647,9.427,9.673,10.152,9.966,9.922,
170000,11.567,10.951,11.4,10.875,10.673,11.592,10.678,10.749,11.209,10.861,
180000,12.826,12.464,12.675,12.408,12.049,12.213,12.088,12.143,12.315,12.341,
190000,14.183,14.506,13.986,14.646,13.956,14.001,13.521,13.594,13.926,14.202,
200000,14.754,15.439,15.565,16.001,15.989,15.227,15.83,15.055,14.938,16.048,
